Hour,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6
0,78.76198154,139.8062596,128.9255082,97.02661504,104.3500312,104.1492894
1,110.3515939,102.3231242,151.6990635,83.41738686,137.3237932,131.2291879
2,118.6411716,155.2277457,148.2913289,108.0187966,143.8584703,159.5359212
3,160.8765903,162.6939334,156.6873524,139.1409718,141.3206406,137.7290215
4,181.036419,149.8981784,151.7194131,143.9549893,131.4839856,135.1517594
5,111.2734344,143.2112774,157.7288854,144.1565939,102.2338499,147.2548704
6,169.160216,157.2819963,161.4120111,149.1615833,132.980358,163.4325309
7,181.8207364,150.4047026,153.3727641,139.0638307,125.183851,129.5137875
8,144.2843888,150.5805895,133.6134649,144.3043863,144.0094004,111.2090705
9,162.1620646,148.1323037,198.2001147,122.9598792,125.0538364,167.5860218
10,83.46272172,157.7605012,158.8951285,131.9946088,114.4773706,127.0940306
11,86.87488078,166.8815113,158.4022648,140.591122,154.8833715,145.0912348
12,146.3072995,108.8529031,116.8972221,144.4750379,143.4703138,164.7936114
13,139.9792524,123.5047149,133.3954126,132.6202555,158.2718498,168.2619962
14,108.2215799,174.4158798,155.7940288,93.78359605,155.7480348,95.4138531
15,106.3931242,135.1577654,144.6846083,117.8217916,130.5634322,143.8191241
16,139.996105,137.1991181,193.1340149,98.75561647,147.230876,140.9769768
17,88.3358642,146.5015416,160.7649129,157.515559,148.2643266,165.0643612
18,134.6802794,152.2312603,151.9252792,95.63867145,154.0168822,143.7488309
19,105.6745682,156.3512557,153.3398805,98.04378193,127.0094693,131.9900827
20,157.5352617,141.4331842,150.4949736,152.6992598,138.2258785,133.5280019
21,154.9490008,153.0949477,160.4249123,159.9277036,142.3715895,82.71329958
22,119.6368721,133.0695946,144.8862542,148.6365058,132.9215162,156.7217722
23,134.7485955,145.3471812,176.8458613,166.719566,130.7069818,142.9524661
24,149.9517908,107.8788927,141.4561905,149.7508841,118.7897357,131.45866
25,131.6337101,89.81635292,114.6449377,108.5439786,92.79517983,94.02006681
26,140.9727543,93.81263753,55.63272304,59.48635724,39.22622551,72.45685984
27,86.81352702,2.52168957,38.39348244,15.6341143,4.652379155,50.14967092
28,112.4009518,85.364527,32.32878468,59.39107469,77.81880816,21.69009501
29,48.49624975,41.97517401,1.74689493,56.80458829,64.40379751,28.4259009
30,30.13271473,63.14618169,101.1911179,57.88037813,56.52106657,53.85360215
31,2.180536661,55.57942786,34.8380701,39.44296198,105.0304744,57.12418999
32,26.45393686,54.21936076,57.92831236,42.83898638,77.97874989,86.36935056
33,14.32507433,56.40155474,46.34610517,61.66802673,58.39123795,41.22353577
34,122.9855947,98.46038268,35.26756748,25.82933683,24.00152524,20.70348214
35,50.60414192,50.39300088,58.35660428,45.9560128,17.27653333,23.46440877
36,66.08411718,40.19954868,19.8400764,4.662421539,33.5871847,0
37,10.55246146,3.265126545,2.706518897,11.19669872,21.26329761,15.85527662
38,29.16833296,102.3981297,27.57358724,51.4194534,9.04846094,5.211043529
39,48.42816572,33.19748704,5.440812123,17.23344408,6.426756094,2.973679168
40,12.85855491,22.54407388,5.704053295,1.65838946,2.827874717,5.358711274
41,20.66329338,13.27437166,5.524282327,4.832654471,5.06901551,32.62223925
42,31.69510584,44.23195127,53.3839901,29.20673721,12.60741127,1.823018322
